Business Name,Home page,Social Links,Units as of 2022,2023 Rank,2022 Rank
Tru by Hilton,https://www.entrepreneur.com/franchises/directory/tru-by-hilton/335754,"https://www.facebook.com/trubyhilton,https://twitter.com/trubyhilton,https://www.instagram.com/trubyhilton",222,54,99
Interim HealthCare,https://www.entrepreneur.com/franchises/directory/interim-healthcare/309889,"https://www.facebook.com/interimhealthcare,https://twitter.com/interimhealth,https://www.linkedin.com/company/interim-healthcare,https://www.youtube.com/user/interimhealthcare",631,55,56
Nothing Bundt Cakes,https://www.entrepreneur.com/franchises/directory/nothing-bundt-cakes/334378,"https://www.facebook.com/nothingbundtcakes,https://twitter.com/nothingbundt,https://www.linkedin.com/company/nothing-bundt-cakes,https://www.instagram.com/nothingbundtcakes,https://www.youtube.com/channel/UCxiUVnazprs4xOS4GzjThLA,https://www.pinterest.com/nbcakes",445,53,19
Scooter's Coffee,https://www.entrepreneur.com/franchises/directory/scooters-coffee/324656,"https://www.facebook.com/scooterscoffee,https://twitter.com/scooterscoffee,https://www.linkedin.com/company/scooters-coffee,https://www.instagram.com/scooterscoffee,https://www.youtube.com/channel/UCMQLZ-gzF-2CFkZuVk8toaw,https://www.pinterest.com/scooterscoffee",467,59,66
Motel 6,https://www.entrepreneur.com/franchises/directory/motel-6/282599,"https://www.facebook.com/motel6,https://twitter.com/motel6,https://www.linkedin.com/company/motel6,https://www.instagram.com/motel6,https://www.youtube.com/motel6","1,225",61,91
The Goddard School,https://www.entrepreneur.com/franchises/directory/goddard-school-the/282378,"https://www.facebook.com/goddardschool,https://www.linkedin.com/company/the-goddard-school,https://www.instagram.com/goddard_school,https://www.youtube.com/user/goddardschool,https://www.pinterest.com/goddardschool",595,60,96
Marco's Pizza,https://www.entrepreneur.com/franchises/directory/marcos-pizza/282563,"https://www.facebook.com/marcospizza,https://twitter.com/marcospizza,https://www.linkedin.com/company/marco%27s-pizza,https://www.instagram.com/marcospizza,https://www.youtube.com/channel/UCvInL37zmYNFDXqfj7EU39Q","1,103",51,70
Spherion Staffing & Recruiting,https://www.entrepreneur.com/franchises/directory/spherion-staffing-recruiting/282461,"https://www.facebook.com/spherion.staffing,https://twitter.com/spherion,https://www.linkedin.com/company/spherion,https://www.instagram.com/spherionstaffing,https://www.youtube.com/channel/UCViPctFVNRDA76mXg2hYM1w",215,63,71
FastSigns,https://www.entrepreneur.com/franchises/directory/fastsigns/282341,"https://www.facebook.com/fastsigns,https://twitter.com/fastsigns,https://www.linkedin.com/company/fastsigns,https://www.instagram.com/fastsigns,https://www.youtube.com/officialfastsigns",761,62,47
Monster Tree Service,https://www.entrepreneur.com/franchises/directory/monster-tree-service/335251,"https://www.facebook.com/monstertreeservice,https://twitter.com/monstertreeserv,https://www.linkedin.com/company/monster-tree-service,https://www.instagram.com/monstertreeservices,https://www.youtube.com/channel/UC7Tn6xHryouXONvtAYYNQWg,https://www.pinterest.com/monstertree",253,64,67
My Salon Suite,https://www.entrepreneur.com/franchises/directory/my-salon-suite/334381,"https://www.facebook.com/mysalonsuite,https://twitter.com/mysalonsuite,https://www.linkedin.com/company/my-salon-suite,https://www.instagram.com/mysalonsuite,https://www.youtube.com/channel/UCKinyhI9GGMG327mR6f6-gA",243,66,62
Phenix Salon Suites,https://www.entrepreneur.com/franchises/directory/phenix-salon-suites/333857,"https://www.facebook.com/phenixsalonsuites1929,https://twitter.com/phenixsalon,https://www.linkedin.com/company/phenix-salon-suites,https://www.instagram.com/phenix.salonsuites.official",341,58,75
Embassy Suites by Hilton,https://www.entrepreneur.com/franchises/directory/embassy-suites-by-hilton/294783,"https://www.facebook.com/embassysuites,https://twitter.com/embassysuites,https://www.instagram.com/embassysuites",242,57,89
HomeVestors of America,https://www.entrepreneur.com/franchises/directory/homevestors-of-america/282436,"https://www.facebook.com/homevestors,https://twitter.com/homevestorsnews,https://www.linkedin.com/company/homevestors,https://www.instagram.com/webuyuglyhouseshomevestors,https://www.youtube.com/channel/UC4tt7LpmKeHjI_E4284T0vg","1,155",65,35
